Names,Links,Page Title
Bay Laurel,https://upload.wikimedia.org/wikipedia/commons/a/a2/Starr-071024-0195-Laurus_nobilis-leaves-Enchanting_Floral_Gardens_of_Kula-Maui_%2824867859296%29.jpg,Laurus nobilis
Lemon Balm,https://upload.wikimedia.org/wikipedia/commons/7/70/Lemon_balm_plant.jpg,Lemon balm
Fennel,https://upload.wikimedia.org/wikipedia/commons/c/c0/Foeniculum_July_2011-1a.jpg,Fennel
Stevia,https://upload.wikimedia.org/wikipedia/commons/9/9a/Stevia_plant.jpg,Stevia
Marjoram,https://upload.wikimedia.org/wikipedia/commons/5/5c/Origanum_majorana_002.JPG,Marjoram
ZZ Plant,https://upload.wikimedia.org/wikipedia/commons/c/cf/Zamioculcas_zamiifolia_1.jpg,Zamioculcas
Philodendron,https://upload.wikimedia.org/wikipedia/commons/c/c1/Tree1.JPG,Philodendron bipinnatifidum
Calathea,https://upload.wikimedia.org/wikipedia/commons/e/e7/Starr_080716-9470_Calathea_crotalifera.jpg,Calathea
Croton,https://upload.wikimedia.org/wikipedia/commons/0/08/Croton_californicus_4.jpg,Croton (plant)
Ficus Tree,https://upload.wikimedia.org/wikipedia/commons/1/16/Ficus_elastica_leaves_02.JPG,Ficus elastica
Haworthia,https://upload.wikimedia.org/wikipedia/commons/b/b9/Haworthia_cymbiformis_1.jpg,Haworthia
Hoya (Wax Plant),https://upload.wikimedia.org/wikipedia/commons/e/ea/NKN-2007-06-13_114250_Hoya_Carnosa_%28Yvan_Leduc_author_for_Wikipedia%29.jpg,Hoya carnosa
Petunia (Trailing),https://upload.wikimedia.org/wikipedia/commons/f/fb/Calibrachoa_flower_red.jpg,Calibrachoa
Clematis,https://upload.wikimedia.org/wikipedia/commons/7/70/Clematis_%27Nelly_Moser%27.JPG,Clematis
Ageratum,https://upload.wikimedia.org/wikipedia/commons/1/15/Ageratum_houstonianum_%28alverson%29.jpg,Ageratum houstonianum
Zantedeschia,https://upload.wikimedia.org/wikipedia/commons/a/ab/Zantedeschia_-_Calla_Lilly2.jpg,Zantedeschia
Heliotrope,https://upload.wikimedia.org/wikipedia/commons/f/f2/Heliotropium_peruvianum.jpg,Heliotropium
Gazania,https://upload.wikimedia.org/wikipedia/commons/e/e3/Gardenology.org-IMG_0043_rbgm10dec.jpg,Gazania
Portulaca,https://upload.wikimedia.org/wikipedia/commons/2/2f/Portulaca_oleracea.jpg,Portulaca oleracea
Coleus,https://upload.wikimedia.org/wikipedia/commons/1/1b/Leaf_-pani_koorkka.JPG,Coleus
Amaryllis,https://upload.wikimedia.org/wikipedia/commons/f/ff/March_lilly_grave_1.JPG,Amaryllis
Yucca,https://upload.wikimedia.org/wikipedia/commons/5/5e/Yucca_elata_-_tmcelrath_01.jpg,Yucca
Acalypha,https://upload.wikimedia.org/wikipedia/commons/7/7b/Acalypha_Hispida_DS.jpg,Acalypha hispida
Viola,https://upload.wikimedia.org/wikipedia/commons/c/c8/Viola_reichenbachiana_LC0128.jpg,Viola (plant)
Jasmine (Outdoor),https://upload.wikimedia.org/wikipedia/commons/4/45/Nicotiana_alata1By_Carl_E_Lewis.jpg,Nicotiana alata
Campanula,https://upload.wikimedia.org/wikipedia/commons/2/2e/Campanula_persicifolia_Tehumardi_Saaremaa.jpg,Campanula
Sea Holly,https://upload.wikimedia.org/wikipedia/commons/3/37/Illustration_Eryngium_maritimum0.jpg,Eryngium maritimum
Daylily,https://upload.wikimedia.org/wikipedia/commons/6/66/Hemerocallis_lilioasphodelus.jpg,Daylily
Yarrow,https://upload.wikimedia.org/wikipedia/commons/1/1a/Achillea_millefolium_%28bright%29.jpg,Achillea millefolium
Neem Tree,https://upload.wikimedia.org/wikipedia/commons/7/7b/Neem_Tree_in_Rajasthan%2C_India.jpg,Azadirachta indica
Peepal Tree (Bodhi Tree),https://upload.wikimedia.org/wikipedia/commons/9/94/Ficus_religiosa_Bo.jpg,Ficus religiosa
Banyan Tree (Bargad),https://upload.wikimedia.org/wikipedia/commons/9/9f/Great_banyan_tree_kol.jpg,Ficus benghalensis
Sheesham Tree,https://upload.wikimedia.org/wikipedia/commons/e/e9/Dalbergia_sissoo_Bra24.png,Dalbergia sissoo
Delonix regia,https://upload.wikimedia.org/wikipedia/commons/8/87/Royal_Poinciana.jpg,Delonix regia
Date Palm,https://upload.wikimedia.org/wikipedia/commons/4/45/Dates005.jpg,Date palm
Ber Tree (Indian Jujube),https://upload.wikimedia.org/wikipedia/commons/f/fc/Indian_jujube_%28fruit%29.jpg,Ziziphus mauritiana
Chrysanthemum (Outdoor),https://upload.wikimedia.org/wikipedia/commons/8/84/Chrysanthemum.JPG,Chrysanthemum × morifolium
Japanese Maple,https://upload.wikimedia.org/wikipedia/commons/d/d6/Acer_palmatum0.jpg,Acer palmatum
Cucumbers,https://upload.wikimedia.org/wikipedia/commons/9/96/ARS_cucumber.jpg,Cucumber
Maranta (Prayer Plant),https://upload.wikimedia.org/wikipedia/commons/4/4a/Maranta_leuconeura3.jpg,Maranta leuconeura
Kalanchoe,https://upload.wikimedia.org/wikipedia/commons/6/67/Kalanchoe.blossfeldiana.jpg,Kalanchoe
Pilea,https://upload.wikimedia.org/wikipedia/commons/6/6d/Pilea_peperomioides_Chinese_money_plant.jpg,Pilea peperomioides
Ficus Benjamina,https://upload.wikimedia.org/wikipedia/commons/1/19/Starr-080608-7576-Ficus_benjamina-habit_with_Laysan_albatross-Gym_Sand_Island-Midway_Atoll_%2824823189861%29.jpg,Ficus benjamina
Mimosa,https://upload.wikimedia.org/wikipedia/commons/2/26/Mimosa_pudica_in_September_month.jpg,Mimosa pudica
Zucchini,https://upload.wikimedia.org/wikipedia/commons/9/92/CSA-Striped-Zucchini.jpg,Zucchini
Chili Pepper,https://upload.wikimedia.org/wikipedia/commons/5/50/Madame_Jeanette_and_other_chillies.jpg,Chili pepper
Grape Vine,https://upload.wikimedia.org/wikipedia/commons/8/84/Vitis_californica_with_grapes.jpg,Vitis
Cherry Blossom,https://upload.wikimedia.org/wikipedia/commons/9/96/Sakura_and_Moss_Pink_-_%E6%A1%9C%28%E3%81%95%E3%81%8F%E3%82%89%29%E3%81%A8%E8%8A%9D%E6%A1%9C%28%E3%81%97%E3%81%B0%E3%81%96%E3%81%8F%E3%82%89%29.jpg,Cherry blossom
Pine,https://upload.wikimedia.org/wikipedia/commons/6/6e/Resin_with_insect_%28aka%29.jpg,Resin
Lily of the Valley,https://upload.wikimedia.org/wikipedia/commons/f/f9/Convallaria_majalis_inflorescence_-_Keila.jpg,Lily of the valley
Wisteria,https://upload.wikimedia.org/wikipedia/commons/0/07/Chinese_Wisteria_Bl%C3%BCtentrauben.JPG,Wisteria
Strawberry,https://upload.wikimedia.org/wikipedia/commons/4/4c/Garden_strawberry_%28Fragaria_%C3%97_ananassa%29_single2.jpg,Strawberry
Raspberry,https://upload.wikimedia.org/wikipedia/commons/2/2b/Raspberries_%28Rubus_idaeus%29.jpg,Raspberry
Cornflower,https://upload.wikimedia.org/wikipedia/commons/0/07/Centaurea_cyanus_flower_001.jpg,Centaurea cyanus
Apple Tree,https://upload.wikimedia.org/wikipedia/commons/9/92/Hippomane_mancinella_%28fruit%29.jpg,Manchineel
Banana Plant,https://upload.wikimedia.org/wikipedia/commons/d/de/Bananavarieties.jpg,Banana
Blackcurrant,https://upload.wikimedia.org/wikipedia/commons/0/05/Ribes_nigrum_a1.JPG,Blackcurrant
Bok Choy,https://upload.wikimedia.org/wikipedia/commons/9/99/Bok_Choy_%2849553125456%29.jpg,Bok choy
Brassica,https://upload.wikimedia.org/wikipedia/commons/d/d9/Brassica_rapa_plant.jpg,Brassica
Chayote,https://upload.wikimedia.org/wikipedia/commons/f/f1/Chayote_BNC.jpg,Chayote
Chestnut,https://upload.wikimedia.org/wikipedia/commons/d/d0/American_Chestnut.JPG,American chestnut
Clementine,https://upload.wikimedia.org/wikipedia/commons/5/5d/Clementines_whole%2C_peeled%2C_half_and_sectioned.jpg,Clementine
Corn,https://upload.wikimedia.org/wikipedia/commons/f/fa/Ustilago_maydis_J1b.jpg,Corn smut
Cucumber,https://upload.wikimedia.org/wikipedia/commons/9/96/ARS_cucumber.jpg,Cucumber
Currant,https://upload.wikimedia.org/wikipedia/commons/0/05/Ribes_nigrum_a1.JPG,Blackcurrant
Dragon Fruit,https://upload.wikimedia.org/wikipedia/commons/4/43/Pitaya_cross_section_ed2.jpg,Pitaya
Elderberry,https://upload.wikimedia.org/wikipedia/commons/6/61/Sambucus_nigra_004.jpg,Sambucus nigra
Fig Tree,https://upload.wikimedia.org/wikipedia/commons/3/3d/Sycomoros_old.jpg,Ficus
Jasmine (Indoor),https://upload.wikimedia.org/wikipedia/commons/6/6d/Orkide_i_finstua_mot_vest.jpg,Houseplant
Kiwi,https://upload.wikimedia.org/wikipedia/commons/0/0a/Actinidia_fruits.jpg,Kiwifruit
Lady's Mantle,https://upload.wikimedia.org/wikipedia/commons/9/99/Alchemilla_mollis_%28Fraaie_vrouwenmantel_bloeiwijze%291.jpg,Alchemilla mollis
Nectarine,https://upload.wikimedia.org/wikipedia/commons/9/92/Illustration_Prunus_persica_clean_no_descr.jpg,Peach
Acanthus,https://upload.wikimedia.org/wikipedia/commons/7/7a/Acanthus_montanus3.jpg,Acanthus (plant)
Alstroemeria,https://upload.wikimedia.org/wikipedia/commons/a/a7/Alstroemeria_aurantiaca.jpg,Alstroemeria
Aquilegia (Columbine),https://upload.wikimedia.org/wikipedia/commons/b/bb/Wald-Akelei.JPG,Aquilegia
Arum Lily,https://upload.wikimedia.org/wikipedia/commons/a/ab/Zantedeschia_-_Calla_Lilly2.jpg,Zantedeschia
Barberry,https://upload.wikimedia.org/wikipedia/commons/a/a0/Illustration_Berberis_vulgaris0.jpg,Berberis vulgaris
Cananga (Ylang-Ylang),https://upload.wikimedia.org/wikipedia/commons/5/5b/Cananga_odorata_01.JPG,Cananga odorata
Cockscomb (Celosia),https://upload.wikimedia.org/wikipedia/commons/0/05/Celosia_spicata.jpg,Celosia
Cress,https://upload.wikimedia.org/wikipedia/commons/2/2d/Lepidium_sativum_2019-05-04_2820.jpg,Garden cress
Cyclamen,https://upload.wikimedia.org/wikipedia/commons/d/de/Wild_cyclamens.jpg,Cyclamen
Ficus Microcarpa,https://upload.wikimedia.org/wikipedia/commons/2/24/Ficus_microcarpa_-_La_Gomera_01.jpg,Ficus microcarpa
Guava,https://upload.wikimedia.org/wikipedia/commons/8/88/Guava_pink_fruit.jpg,Guava
Ixia,https://upload.wikimedia.org/wikipedia/commons/a/ae/Ixia_African_Corn_Lilies.jpg,Ixia
Kiwi Vine,https://upload.wikimedia.org/wikipedia/commons/0/0a/Actinidia_fruits.jpg,Kiwifruit
Knautia,https://upload.wikimedia.org/wikipedia/commons/d/d4/Acker-Witwenblume_Knautia_arvensis.jpg,Knautia
Luffa,https://upload.wikimedia.org/wikipedia/commons/7/7d/Luffa_aegyptica.jpg,Luffa
Malva (Mallow),https://upload.wikimedia.org/wikipedia/commons/d/d8/Malva_neglecta-flower.jpg,Malva neglecta
Protea,https://upload.wikimedia.org/wikipedia/commons/3/3c/Protea_repens_bush.jpg,Protea
Red-leafed Maple,https://upload.wikimedia.org/wikipedia/commons/d/d6/Acer_palmatum0.jpg,Acer palmatum
Rhododendron,https://upload.wikimedia.org/wikipedia/commons/e/e0/Alpenroos.jpg,Rhododendron
Taro,https://upload.wikimedia.org/wikipedia/commons/3/30/Songe-R%C3%A9union.JPG,Taro
Violet,https://upload.wikimedia.org/wikipedia/commons/c/c8/Viola_reichenbachiana_LC0128.jpg,Viola (plant)
Zephyranthes (Rain Lily),https://upload.wikimedia.org/wikipedia/commons/e/ef/Zephyranthes_carinata.jpg,Zephyranthes carinata
Buckwheat,https://upload.wikimedia.org/wikipedia/commons/a/a7/Japanese_Buckwheat_Flower.JPG,Buckwheat
Elderflower,https://upload.wikimedia.org/wikipedia/commons/a/a9/Sambucus-berries.jpg,Sambucus
Epazote,https://upload.wikimedia.org/wikipedia/commons/d/df/Dysphania_ambrosioides_NRCS-1_%28cropped%29.jpg,Dysphania ambrosioides
Fern (Maidenhair),https://upload.wikimedia.org/wikipedia/commons/1/1c/Adiantum_capillus-veneris_2601.jpg,Adiantum capillus-veneris
Galangal,https://upload.wikimedia.org/wikipedia/commons/9/9a/Galangal.web.jpg,Galangal
Indian Cress,https://upload.wikimedia.org/wikipedia/commons/2/2d/Lepidium_sativum_2019-05-04_2820.jpg,Garden cress
Mandevilla,https://upload.wikimedia.org/wikipedia/commons/b/b7/Mandevilla_sanderi_red_1.jpg,Mandevilla
Mayapple,https://upload.wikimedia.org/wikipedia/commons/e/e9/Podophyllum_peltatum_Arkansas.jpg,Podophyllum peltatum
Nutmeg,https://upload.wikimedia.org/wikipedia/commons/c/c8/Biji_Pala_Bubuk.jpg,Nutmeg
Orchid (Vanilla),https://upload.wikimedia.org/wikipedia/commons/d/d4/Vanillebl%C3%BCte1.jpg,Vanilla (genus)
Plumeria,https://upload.wikimedia.org/wikipedia/commons/e/ed/Plumeria_rubra-4.JPG,Plumeria
Quinoa,https://upload.wikimedia.org/wikipedia/commons/9/96/Reismelde.jpg,Quinoa
Redwood,https://upload.wikimedia.org/wikipedia/commons/0/03/US_199_Redwood_Highway.jpg,Sequoia sempervirens
Rose of Sharon,https://upload.wikimedia.org/wikipedia/commons/5/59/Rose_of_sharon.JPG,Rose of Sharon
Rosemary Mint,https://upload.wikimedia.org/wikipedia/commons/2/26/Poliominthaincana.JPG,Poliomintha
Sedge,https://upload.wikimedia.org/wikipedia/commons/4/47/Papyrus_%28Cyperus_papyrus%29_%287079191471%29.jpg,Cyperus papyrus
Silene (Catchfly),https://upload.wikimedia.org/wikipedia/commons/f/fe/Silene_nutans_220505.jpg,Silene nutans
Silverbell Tree,https://upload.wikimedia.org/wikipedia/commons/e/ec/Halesia_carolina0.jpg,Halesia
Soursop,https://upload.wikimedia.org/wikipedia/commons/6/6d/Annona_muricata_1.jpg,Soursop
Tansy,https://upload.wikimedia.org/wikipedia/commons/d/d6/Tanacetum_vulgare_-_harilik_soolikarohi_Keilas2.jpg,Tansy
Themeda (Kangaroo Grass),https://upload.wikimedia.org/wikipedia/commons/5/53/Themeda_triandra_-_kangaroo_grass.jpg,Themeda triandra
Tuberose (Polianthes),https://upload.wikimedia.org/wikipedia/commons/8/8e/Tuberose_flower.jpg,Polianthes tuberosa
Wattle,https://upload.wikimedia.org/wikipedia/commons/9/9b/Acacia_pycnantha_Golden_Wattle.jpg,Acacia pycnantha
Zea Mays (Corn),https://upload.wikimedia.org/wikipedia/commons/b/b7/Corncobs_edit1.jpg,Zea (plant)
Achillea (Yarrow),https://upload.wikimedia.org/wikipedia/commons/1/1a/Achillea_millefolium_%28bright%29.jpg,Achillea millefolium
Angelonia,https://upload.wikimedia.org/wikipedia/commons/5/50/Maypurpleflower.jpg,Angelonia
Bearded Iris,https://upload.wikimedia.org/wikipedia/commons/f/f8/Iris_sanguinea_cultivar%2C_Wakehurst_Place%2C_UK_-_Diliff.jpg,Iris (plant)
Black Currant,https://upload.wikimedia.org/wikipedia/commons/0/05/Ribes_nigrum_a1.JPG,Blackcurrant
Bloodroot,https://upload.wikimedia.org/wikipedia/commons/6/6b/Sanguinaria_canadensis_Arkansas.jpg,Sanguinaria
Carob Tree,https://upload.wikimedia.org/wikipedia/commons/1/1d/Ceratonia_siliqua_Keciboynuzu_1370984_Nevit.jpg,Carob
Clover,https://upload.wikimedia.org/wikipedia/commons/8/8d/79_Trifolium_repens_L.jpg,Clover
Daffodils,https://upload.wikimedia.org/wikipedia/commons/6/63/Narcissus_poeticus_subsp._radiiflorus.1658.jpg,Narcissus (plant)
Dogwood Tree,https://upload.wikimedia.org/wikipedia/commons/4/49/Bgbo_cornus_kousa_var_chinensis_ies.jpg,Cornus
Engelmann Spruce,https://upload.wikimedia.org/wikipedia/commons/e/ea/Engelmann_spruce_on_the_PCT%2C_Washington.JPG,Picea engelmannii
Fairy Lantern,https://upload.wikimedia.org/wikipedia/commons/5/5c/Calochortus_albus_flowers.jpg,Calochortus albus
Fritillaria,https://upload.wikimedia.org/wikipedia/commons/6/68/Fritillaria_meleagris0.jpg,Fritillaria
Galax,https://upload.wikimedia.org/wikipedia/commons/2/28/Galax_urceolata.jpg,Galax
Ginkgo,https://upload.wikimedia.org/wikipedia/commons/e/e0/GINKGOBAUM-2.jpg,Ginkgo biloba
Grape Hyacinth,https://upload.wikimedia.org/wikipedia/commons/7/7e/Hyacinth_-_Anglesey_Abbey.jpg,Hyacinth
Guar,https://upload.wikimedia.org/wikipedia/commons/9/9b/Cluster_bean-guar-Cyamopsis_psoralioides-Cyamopsis_tetragonolobus-TAMIL_NADU73.jpg,Guar
Gumwood Tree,https://upload.wikimedia.org/wikipedia/commons/e/e8/MELLISS%281875%29_p395_-_PLATE_41_-_Psiadia_Rotundifolia.jpg,Commidendrum rotundifolium
Goldenrods,https://upload.wikimedia.org/wikipedia/commons/e/e2/Solidago_nemoralis.jpg,Goldenrod
Goldenseal,https://upload.wikimedia.org/wikipedia/commons/b/bd/Hydrastis_canadensis.jpg,Goldenseal
Heliopsis,https://upload.wikimedia.org/wikipedia/commons/e/e4/Heliopsis_helianthoides.jpg,Heliopsis
Henbane,https://upload.wikimedia.org/wikipedia/commons/4/4f/Hyoscyamus_niger_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-073.jpg,Hyoscyamus niger
Heracleum (Cow Parsnip),https://upload.wikimedia.org/wikipedia/commons/0/02/Heracleum_sphondylium_Berenklauw.jpg,Heracleum sphondylium
Hops Vine,https://upload.wikimedia.org/wikipedia/commons/1/18/%22A_Momordica_charantia-_bitter_guard_plant%22.jpg,Vine
Indian Grass,https://upload.wikimedia.org/wikipedia/commons/b/bd/YosriNov04Pokok_Serai.JPG,Cymbopogon
Jerusalem Artichoke,https://upload.wikimedia.org/wikipedia/commons/a/ae/Sunroot_top.jpg,Jerusalem artichoke
Laelia Orchid,https://upload.wikimedia.org/wikipedia/commons/8/81/Laelia-anceps.jpg,Laelia
Ligustrum,https://upload.wikimedia.org/wikipedia/commons/6/6a/Schurenbachhalde_11_ies.jpg,Privet
Lilac Tree,https://upload.wikimedia.org/wikipedia/commons/c/c6/Stockholm-lilac.jpg,Syringa
